STATISTIC,STATISTIC_label,statistic,TLIST(A1),TLIST(A1)_label,year,C02076V03371,C02076V03371_label,age_group,C03788V04538,C03788V04538_label,nuts_3_region,C02199V02655,C02199V02655_label,sex,value
PEA26C01,Persons,Persons,2023,2023,2023,-,All ages,All ages,B1A65D7C-1984-4A87-AD58-0E846812C992,Border,Border,-,Both sexes,Both sexes,430893.0
PEA26C01,Persons,Persons,2023,2023,2023,-,All ages,All ages,B1A65D7C-1984-4A87-AD58-0E846812C992,Border,Border,1,Male,Male,214219.0
PEA26C01,Persons,Persons,2023,2023,2023,-,All ages,All ages,B1A65D7C-1984-4A87-AD58-0E846812C992,Border,Border,2,Female,Female,216674.0
PEA26C01,Persons,Persons,2023,2023,2023,-,All ages,All ages,F97E459B-57ED-49C0-8A28-2BC1C7F08E88,Dublin,Dublin,-,Both sexes,Both sexes,1499179.0
PEA26C01,Persons,Persons,2023,2023,2023,-,All ages,All ages,F97E459B-57ED-49C0-8A28-2BC1C7F08E88,Dublin,Dublin,1,Male,Male,735290.0
PEA26C01,Persons,Persons,2023,2023,2023,-,All ages,All ages,F97E459B-57ED-49C0-8A28-2BC1C7F08E88,Dublin,Dublin,2,Female,Female,763889.0
PEA26C01,Persons,Persons,2023,2023,2023,-,All ages,All ages,8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF,Mid-East,Mid-East,-,Both sexes,Both sexes,776202.0
PEA26C01,Persons,Persons,2023,2023,2023,-,All ages,All ages,8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF,Mid-East,Mid-East,1,Male,Male,385465.0
PEA26C01,Persons,Persons,2023,2023,2023,-,All ages,All ages,8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF,Mid-East,Mid-East,2,Female,Female,390737.0
PEA26C01,Persons,Persons,2023,2023,2023,-,All ages,All ages,B26C8BAA-F3C5-49A9-B74E-D7FED1823E65,Midland,Midland,-,Both sexes,Both sexes,324626.0
PEA26C01,Persons,Persons,2023,2023,2023,-,All ages,All ages,B26C8BAA-F3C5-49A9-B74E-D7FED1823E65,Midland,Midland,1,Male,Male,161431.0
