year,age_group,sex,nuts_3_region,STATISTIC,value
2024,All ages,Both sexes,Ireland,PEA26C01,5351681.0
2023,All ages,Both sexes,Ireland,PEA26C01,5271395.0
2024,All ages,Female,Ireland,PEA26C01,2708306.0
2023,All ages,Female,Ireland,PEA26C01,2666848.0
2024,All ages,Male,Ireland,PEA26C01,2643375.0
2023,All ages,Male,Ireland,PEA26C01,2604547.0
2024,All ages,Both sexes,Dublin,PEA26C01,1519751.0
2023,All ages,Both sexes,Dublin,PEA26C01,1499179.0
2024,All ages,Both sexes,Mid-East,PEA26C01,782429.0
2023,All ages,Both sexes,Mid-East,PEA26C01,776202.0
2024,All ages,Female,Dublin,PEA26C01,774189.0
2024,All ages,Both sexes,South-West,PEA26C01,769764.0
2023,All ages,Female,Dublin,PEA26C01,763889.0
2023,All ages,Both sexes,South-West,PEA26C01,756254.0
2024,All ages,Male,Dublin,PEA26C01,745562.0
2023,All ages,Male,Dublin,PEA26C01,735290.0
2024,All ages,Both sexes,Mid-West,PEA26C01,529583.0
2023,All ages,Both sexes,Mid-West,PEA26C01,517337.0
2024,All ages,Both sexes,West,PEA26C01,503916.0
2023,All ages,Both sexes,West,PEA26C01,499315.0
2024,All ages,Both sexes,South-East,PEA26C01,473064.0
2023,All ages,Both sexes,South-East,PEA26C01,467589.0
2024,All ages,Both sexes,Border,PEA26C01,441644.0
2024,40 - 44 years,Both sexes,Ireland,PEA26C01,431629.0
2023,All ages,Both sexes,Border,PEA26C01,430893.0
2023,40 - 44 years,Both sexes,Ireland,PEA26C01,425708.0
2024,All ages,Female,Mid-East,PEA26C01,393334.0
2024,45 - 49 years,Both sexes,Ireland,PEA26C01,391333.0
2023,All ages,Female,Mid-East,PEA26C01,390737.0
2024,All ages,Female,South-West,PEA26C01,390137.0
2024,All ages,Male,Mid-East,PEA26C01,389095.0
2023,35 - 39 years,Both sexes,Ireland,PEA26C01,385962.0
2023,All ages,Male,Mid-East,PEA26C01,385465.0
2023,45 - 49 years,Both sexes,Ireland,PEA26C01,383883.0
2024,35 - 39 years,Both sexes,Ireland,PEA26C01,383274.0
2023,All ages,Female,South-West,PEA26C01,382208.0
2024,10 - 14 years,Both sexes,Ireland,PEA26C01,380824.0
2024,All ages,Male,South-West,PEA26C01,379627.0
2023,10 - 14 years,Both sexes,Ireland,PEA26C01,379467.0
2023,All ages,Male,South-West,PEA26C01,374046.0
2024,50 - 54 years,Both sexes,Ireland,PEA26C01,362443.0
2024,15 - 19 years,Both sexes,Ireland,PEA26C01,355598.0
2023,50 - 54 years,Both sexes,Ireland,PEA26C01,350992.0
2023,15 - 19 years,Both sexes,Ireland,PEA26C01,343539.0
2023,5 - 9 years,Both sexes,Ireland,PEA26C01,341967.0
2023,30 - 34 years,Both sexes,Ireland,PEA26C01,339309.0
2024,5 - 9 years,Both sexes,Ireland,PEA26C01,338288.0
2024,30 - 34 years,Both sexes,Ireland,PEA26C01,338111.0
2024,All ages,Both sexes,Midland,PEA26C01,331530.0
2023,All ages,Both sexes,Midland,PEA26C01,324626.0
2024,55 - 59 years,Both sexes,Ireland,PEA26C01,320667.0
2024,20 - 24 years,Both sexes,Ireland,PEA26C01,319584.0
2024,25 - 29 years,Both sexes,Ireland,PEA26C01,316180.0
2023,55 - 59 years,Both sexes,Ireland,PEA26C01,314883.0
2023,20 - 24 years,Both sexes,Ireland,PEA26C01,314437.0
2023,25 - 29 years,Both sexes,Ireland,PEA26C01,309559.0
2023,0 - 4 years,Both sexes,Ireland,PEA26C01,298007.0
2024,0 - 4 years,Both sexes,Ireland,PEA26C01,293631.0
2024,60 - 64 years,Both sexes,Ireland,PEA26C01,292810.0
2023,60 - 64 years,Both sexes,Ireland,PEA26C01,283167.0
2024,All ages,Female,Mid-West,PEA26C01,268752.0
2023,All ages,Female,Mid-West,PEA26C01,261481.0
2024,All ages,Male,Mid-West,PEA26C01,260831.0
2023,All ages,Male,Mid-West,PEA26C01,255856.0
2024,All ages,Female,West,PEA26C01,254076.0
2023,All ages,Female,West,PEA26C01,251785.0
2024,65 - 69 years,Both sexes,Ireland,PEA26C01,250313.0
2024,All ages,Male,West,PEA26C01,249840.0
2023,All ages,Male,West,PEA26C01,247530.0
2023,65 - 69 years,Both sexes,Ireland,PEA26C01,244141.0
2024,All ages,Female,South-East,PEA26C01,238864.0
2023,All ages,Female,South-East,PEA26C01,236879.0
2024,All ages,Male,South-East,PEA26C01,234200.0
2023,All ages,Male,South-East,PEA26C01,230710.0
2024,40 - 44 years,Female,Ireland,PEA26C01,223535.0
2024,All ages,Female,Border,PEA26C01,221882.0
2024,All ages,Male,Border,PEA26C01,219762.0
2023,40 - 44 years,Female,Ireland,PEA26C01,219167.0
2023,All ages,Female,Border,PEA26C01,216674.0
2023,All ages,Male,Border,PEA26C01,214219.0
2024,70 - 74 years,Both sexes,Ireland,PEA26C01,213704.0
2023,70 - 74 years,Both sexes,Ireland,PEA26C01,208673.0
2024,40 - 44 years,Male,Ireland,PEA26C01,208094.0
2023,40 - 44 years,Male,Ireland,PEA26C01,206541.0
2023,35 - 39 years,Female,Ireland,PEA26C01,201462.0
2024,35 - 39 years,Female,Ireland,PEA26C01,200487.0
2024,45 - 49 years,Female,Ireland,PEA26C01,199130.0
2024,10 - 14 years,Male,Ireland,PEA26C01,195084.0
2023,45 - 49 years,Female,Ireland,PEA26C01,194615.0
2023,10 - 14 years,Male,Ireland,PEA26C01,193916.0
2024,45 - 49 years,Male,Ireland,PEA26C01,192203.0
2023,45 - 49 years,Male,Ireland,PEA26C01,189268.0
2024,10 - 14 years,Female,Ireland,PEA26C01,185740.0
2023,10 - 14 years,Female,Ireland,PEA26C01,185551.0
2023,35 - 39 years,Male,Ireland,PEA26C01,184500.0
2024,15 - 19 years,Male,Ireland,PEA26C01,183781.0
2024,35 - 39 years,Male,Ireland,PEA26C01,182787.0
2024,50 - 54 years,Female,Ireland,PEA26C01,182724.0
