year,age_group,sex,human_development_index_rating,STATISTIC,value
2024,All ages,Both sexes,Human Development Index (HDI) - All ratings,PEA27C01,356968.0
2023,All ages,Both sexes,Human Development Index (HDI) - All ratings,PEA27C01,342808.0
2024,All ages,Male,Human Development Index (HDI) - All ratings,PEA27C01,178851.0
2024,All ages,Female,Human Development Index (HDI) - All ratings,PEA27C01,178117.0
2023,All ages,Male,Human Development Index (HDI) - All ratings,PEA27C01,173006.0
2023,All ages,Female,Human Development Index (HDI) - All ratings,PEA27C01,169802.0
2024,All ages,Both sexes,Very High Human Development Index (HDI),PEA27C01,142957.0
2023,All ages,Both sexes,Very High Human Development Index (HDI),PEA27C01,141348.0
2024,All ages,Both sexes,High Human Development Index (HDI),PEA27C01,100543.0
2023,All ages,Both sexes,High Human Development Index (HDI),PEA27C01,94128.0
2024,All ages,Both sexes,Medium Human Development Index (HDI),PEA27C01,89206.0
2023,All ages,Both sexes,Medium Human Development Index (HDI),PEA27C01,84529.0
2023,All ages,Male,Very High Human Development Index (HDI),PEA27C01,73908.0
2024,All ages,Male,Very High Human Development Index (HDI),PEA27C01,73898.0
2024,All ages,Female,Very High Human Development Index (HDI),PEA27C01,69059.0
2023,All ages,Female,Very High Human Development Index (HDI),PEA27C01,67440.0
2024,All ages,Female,High Human Development Index (HDI),PEA27C01,51162.0
2024,All ages,Male,High Human Development Index (HDI),PEA27C01,49381.0
2024,35 - 39 years,Both sexes,Human Development Index (HDI) - All ratings,PEA27C01,48338.0
2023,All ages,Female,High Human Development Index (HDI),PEA27C01,47994.0
2024,40 - 44 years,Both sexes,Human Development Index (HDI) - All ratings,PEA27C01,47517.0
2023,35 - 39 years,Both sexes,Human Development Index (HDI) - All ratings,PEA27C01,46569.0
2023,All ages,Male,High Human Development Index (HDI),PEA27C01,46134.0
2024,All ages,Female,Medium Human Development Index (HDI),PEA27C01,45531.0
2023,40 - 44 years,Both sexes,Human Development Index (HDI) - All ratings,PEA27C01,44880.0
2024,30 - 34 years,Both sexes,Human Development Index (HDI) - All ratings,PEA27C01,44235.0
2023,30 - 34 years,Both sexes,Human Development Index (HDI) - All ratings,PEA27C01,43751.0
2024,All ages,Male,Medium Human Development Index (HDI),PEA27C01,43675.0
2023,All ages,Female,Medium Human Development Index (HDI),PEA27C01,42923.0
