STATISTIC,STATISTIC_label,statistic,TLIST(A1),TLIST(A1)_label,year,C02076V03371,C02076V03371_label,age_group,C02199V02655,C02199V02655_label,sex,C04292V05069,C04292V05069_label,human_development_index_rating,value
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,-,All ages,All ages,-,Both sexes,Both sexes,10,Human Development Index (HDI) - All ratings,Human Development Index (HDI) - All ratings,716448.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,-,All ages,All ages,-,Both sexes,Both sexes,20,High Human Development Index (HDI),High Human Development Index (HDI),140105.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,-,All ages,All ages,-,Both sexes,Both sexes,30,Low Human Development Index (HDI),Low Human Development Index (HDI),55327.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,-,All ages,All ages,-,Both sexes,Both sexes,40,Medium Human Development Index (HDI),Medium Human Development Index (HDI),114406.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,-,All ages,All ages,-,Both sexes,Both sexes,50,Very High Human Development Index (HDI),Very High Human Development Index (HDI),406610.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,-,All ages,All ages,1,Male,Male,10,Human Development Index (HDI) - All ratings,Human Development Index (HDI) - All ratings,357553.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,-,All ages,All ages,1,Male,Male,20,High Human Development Index (HDI),High Human Development Index (HDI),69182.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,-,All ages,All ages,1,Male,Male,30,Low Human Development Index (HDI),Low Human Development Index (HDI),27522.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,-,All ages,All ages,1,Male,Male,40,Medium Human Development Index (HDI),Medium Human Development Index (HDI),56380.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,-,All ages,All ages,1,Male,Male,50,Very High Human Development Index (HDI),Very High Human Development Index (HDI),204469.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,-,All ages,All ages,2,Female,Female,10,Human Development Index (HDI) - All ratings,Human Development Index (HDI) - All ratings,358895.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,-,All ages,All ages,2,Female,Female,20,High Human Development Index (HDI),High Human Development Index (HDI),70923.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,-,All ages,All ages,2,Female,Female,30,Low Human Development Index (HDI),Low Human Development Index (HDI),27805.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,-,All ages,All ages,2,Female,Female,40,Medium Human Development Index (HDI),Medium Human Development Index (HDI),58026.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,-,All ages,All ages,2,Female,Female,50,Very High Human Development Index (HDI),Very High Human Development Index (HDI),202141.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,240,Under 5 years,Under 5 years,-,Both sexes,Both sexes,10,Human Development Index (HDI) - All ratings,Human Development Index (HDI) - All ratings,31235.0
