year,age_group,sex,human_development_index_rating,STATISTIC,value
2024,All ages,Both sexes,Human Development Index (HDI) - All ratings,PEA27C01,733514.0
2023,All ages,Both sexes,Human Development Index (HDI) - All ratings,PEA27C01,716448.0
2024,All ages,Both sexes,Very High Human Development Index (HDI),PEA27C01,410449.0
2023,All ages,Both sexes,Very High Human Development Index (HDI),PEA27C01,406610.0
2024,All ages,Female,Human Development Index (HDI) - All ratings,PEA27C01,368222.0
2024,All ages,Male,Human Development Index (HDI) - All ratings,PEA27C01,365292.0
2023,All ages,Female,Human Development Index (HDI) - All ratings,PEA27C01,358895.0
2023,All ages,Male,Human Development Index (HDI) - All ratings,PEA27C01,357553.0
2024,All ages,Male,Very High Human Development Index (HDI),PEA27C01,205702.0
2024,All ages,Female,Very High Human Development Index (HDI),PEA27C01,204747.0
2023,All ages,Male,Very High Human Development Index (HDI),PEA27C01,204469.0
2023,All ages,Female,Very High Human Development Index (HDI),PEA27C01,202141.0
2024,All ages,Both sexes,High Human Development Index (HDI),PEA27C01,146937.0
2023,All ages,Both sexes,High Human Development Index (HDI),PEA27C01,140105.0
2024,All ages,Both sexes,Medium Human Development Index (HDI),PEA27C01,118838.0
2023,All ages,Both sexes,Medium Human Development Index (HDI),PEA27C01,114406.0
2024,40 - 44 years,Both sexes,Human Development Index (HDI) - All ratings,PEA27C01,75439.0
2024,All ages,Female,High Human Development Index (HDI),PEA27C01,74127.0
2023,40 - 44 years,Both sexes,Human Development Index (HDI) - All ratings,PEA27C01,72851.0
2024,All ages,Male,High Human Development Index (HDI),PEA27C01,72810.0
2024,35 - 39 years,Both sexes,Human Development Index (HDI) - All ratings,PEA27C01,72465.0
2023,All ages,Female,High Human Development Index (HDI),PEA27C01,70923.0
2023,35 - 39 years,Both sexes,Human Development Index (HDI) - All ratings,PEA27C01,70878.0
2023,All ages,Male,High Human Development Index (HDI),PEA27C01,69182.0
2024,30 - 34 years,Both sexes,Human Development Index (HDI) - All ratings,PEA27C01,65309.0
2023,30 - 34 years,Both sexes,Human Development Index (HDI) - All ratings,PEA27C01,65027.0
2024,All ages,Female,Medium Human Development Index (HDI),PEA27C01,60296.0
2024,45 - 49 years,Both sexes,Human Development Index (HDI) - All ratings,PEA27C01,59954.0
2024,All ages,Male,Medium Human Development Index (HDI),PEA27C01,58542.0
2023,All ages,Female,Medium Human Development Index (HDI),PEA27C01,58026.0
2024,All ages,Both sexes,Low Human Development Index (HDI),PEA27C01,57290.0
2023,45 - 49 years,Both sexes,Human Development Index (HDI) - All ratings,PEA27C01,56992.0
2023,All ages,Male,Medium Human Development Index (HDI),PEA27C01,56380.0
2023,All ages,Both sexes,Low Human Development Index (HDI),PEA27C01,55327.0
2023,25 - 29 years,Both sexes,Human Development Index (HDI) - All ratings,PEA27C01,51103.0
2024,25 - 29 years,Both sexes,Human Development Index (HDI) - All ratings,PEA27C01,50461.0
2024,50 - 54 years,Both sexes,Human Development Index (HDI) - All ratings,PEA27C01,47877.0
2023,50 - 54 years,Both sexes,Human Development Index (HDI) - All ratings,PEA27C01,46146.0
