STATISTIC,STATISTIC_label,statistic,TLIST(A1),TLIST(A1)_label,year,C03788V04538,C03788V04538_label,nuts_3_region,C02199V02655,C02199V02655_label,sex,value
PEA29C01,Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),2023,2023,2023,B1A65D7C-1984-4A87-AD58-0E846812C992,Border,Border,-,Both sexes,Both sexes,30.8
PEA29C01,Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),2023,2023,2023,B1A65D7C-1984-4A87-AD58-0E846812C992,Border,Border,1,Male,Male,30.1
PEA29C01,Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),2023,2023,2023,B1A65D7C-1984-4A87-AD58-0E846812C992,Border,Border,2,Female,Female,31.4
PEA29C01,Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),2023,2023,2023,F97E459B-57ED-49C0-8A28-2BC1C7F08E88,Dublin,Dublin,-,Both sexes,Both sexes,21.6
PEA29C01,Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),2023,2023,2023,F97E459B-57ED-49C0-8A28-2BC1C7F08E88,Dublin,Dublin,1,Male,Male,19.7
PEA29C01,Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),2023,2023,2023,F97E459B-57ED-49C0-8A28-2BC1C7F08E88,Dublin,Dublin,2,Female,Female,23.5
PEA29C01,Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),2023,2023,2023,8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF,Mid-East,Mid-East,-,Both sexes,Both sexes,23.1
PEA29C01,Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),2023,2023,2023,8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF,Mid-East,Mid-East,1,Male,Male,22.3
PEA29C01,Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),2023,2023,2023,8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF,Mid-East,Mid-East,2,Female,Female,23.9
PEA29C01,Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),2023,2023,2023,B26C8BAA-F3C5-49A9-B74E-D7FED1823E65,Midland,Midland,-,Both sexes,Both sexes,25.7
PEA29C01,Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),2023,2023,2023,B26C8BAA-F3C5-49A9-B74E-D7FED1823E65,Midland,Midland,1,Male,Male,25.0
PEA29C01,Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),2023,2023,2023,B26C8BAA-F3C5-49A9-B74E-D7FED1823E65,Midland,Midland,2,Female,Female,26.4
PEA29C01,Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),2023,2023,2023,42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78,Mid-West,Mid-West,-,Both sexes,Both sexes,29.3
PEA29C01,Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),2023,2023,2023,42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78,Mid-West,Mid-West,1,Male,Male,28.6
PEA29C01,Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),2023,2023,2023,42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78,Mid-West,Mid-West,2,Female,Female,30.0
PEA29C01,Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),2023,2023,2023,27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC,South-East,South-East,-,Both sexes,Both sexes,28.7
PEA29C01,Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),2023,2023,2023,27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC,South-East,South-East,1,Male,Male,28.4
PEA29C01,Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),2023,2023,2023,27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC,South-East,South-East,2,Female,Female,29.1
PEA29C01,Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),2023,2023,2023,604546A1-A856-4B9B-AD46-E88B27C27155,South-West,South-West,-,Both sexes,Both sexes,27.8
PEA29C01,Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),2023,2023,2023,604546A1-A856-4B9B-AD46-E88B27C27155,South-West,South-West,1,Male,Male,26.9
PEA29C01,Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),2023,2023,2023,604546A1-A856-4B9B-AD46-E88B27C27155,South-West,South-West,2,Female,Female,28.7
PEA29C01,Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),2023,2023,2023,A69CA800-8D87-4920-A7C1-50426A1D39B4,West,West,-,Both sexes,Both sexes,29.6
PEA29C01,Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),2023,2023,2023,A69CA800-8D87-4920-A7C1-50426A1D39B4,West,West,1,Male,Male,28.9
PEA29C01,Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),2023,2023,2023,A69CA800-8D87-4920-A7C1-50426A1D39B4,West,West,2,Female,Female,30.3
PEA29C01,Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),2023,2023,2023,IE0,Ireland,Ireland,-,Both sexes,Both sexes,25.8
PEA29C01,Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),2023,2023,2023,IE0,Ireland,Ireland,1,Male,Male,24.7
PEA29C01,Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),2023,2023,2023,IE0,Ireland,Ireland,2,Female,Female,26.8
PEA29C01,Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),2024,2024,2024,B1A65D7C-1984-4A87-AD58-0E846812C992,Border,Border,-,Both sexes,Both sexes,31.2
PEA29C01,Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),2024,2024,2024,B1A65D7C-1984-4A87-AD58-0E846812C992,Border,Border,1,Male,Male,30.7
PEA29C01,Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),2024,2024,2024,B1A65D7C-1984-4A87-AD58-0E846812C992,Border,Border,2,Female,Female,31.8
PEA29C01,Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),2024,2024,2024,F97E459B-57ED-49C0-8A28-2BC1C7F08E88,Dublin,Dublin,-,Both sexes,Both sexes,22.0
