STATISTIC,STATISTIC_label,statistic,TLIST(A1),TLIST(A1)_label,year,C02076V03371,C02076V03371_label,age_group,C03788V04538,C03788V04538_label,nuts_3_region,value
VSA104C01,Total period of fertility rate,Total period of fertility rate,1969,1969,1969,-,All ages,All ages,IE0,Ireland,Ireland,3.85
VSA104C01,Total period of fertility rate,Total period of fertility rate,1970,1970,1970,-,All ages,All ages,IE0,Ireland,Ireland,3.87
VSA104C01,Total period of fertility rate,Total period of fertility rate,1971,1971,1971,-,All ages,All ages,IE0,Ireland,Ireland,3.98
VSA104C01,Total period of fertility rate,Total period of fertility rate,1972,1972,1972,-,All ages,All ages,IE0,Ireland,Ireland,3.88
VSA104C01,Total period of fertility rate,Total period of fertility rate,1973,1973,1973,-,All ages,All ages,IE0,Ireland,Ireland,3.74
VSA104C01,Total period of fertility rate,Total period of fertility rate,1974,1974,1974,-,All ages,All ages,IE0,Ireland,Ireland,3.62
VSA104C01,Total period of fertility rate,Total period of fertility rate,1975,1975,1975,-,All ages,All ages,IE0,Ireland,Ireland,3.4
VSA104C01,Total period of fertility rate,Total period of fertility rate,1976,1976,1976,-,All ages,All ages,IE0,Ireland,Ireland,3.31
VSA104C01,Total period of fertility rate,Total period of fertility rate,1977,1977,1977,-,All ages,All ages,IE0,Ireland,Ireland,3.27
VSA104C01,Total period of fertility rate,Total period of fertility rate,1978,1978,1978,-,All ages,All ages,IE0,Ireland,Ireland,3.24
VSA104C01,Total period of fertility rate,Total period of fertility rate,1979,1979,1979,-,All ages,All ages,IE0,Ireland,Ireland,3.23
VSA104C01,Total period of fertility rate,Total period of fertility rate,1980,1980,1980,-,All ages,All ages,IE0,Ireland,Ireland,3.23
VSA104C01,Total period of fertility rate,Total period of fertility rate,1981,1981,1981,-,All ages,All ages,IE0,Ireland,Ireland,3.07
VSA104C01,Total period of fertility rate,Total period of fertility rate,1982,1982,1982,-,All ages,All ages,IE0,Ireland,Ireland,2.96
VSA104C01,Total period of fertility rate,Total period of fertility rate,1983,1983,1983,-,All ages,All ages,IE0,Ireland,Ireland,2.76
VSA104C01,Total period of fertility rate,Total period of fertility rate,1984,1984,1984,-,All ages,All ages,IE0,Ireland,Ireland,2.59
VSA104C01,Total period of fertility rate,Total period of fertility rate,1985,1985,1985,-,All ages,All ages,IE0,Ireland,Ireland,2.5
VSA104C01,Total period of fertility rate,Total period of fertility rate,1986,1986,1986,-,All ages,All ages,IE0,Ireland,Ireland,2.44
VSA104C01,Total period of fertility rate,Total period of fertility rate,1987,1987,1987,-,All ages,All ages,IE0,Ireland,Ireland,2.31
VSA104C01,Total period of fertility rate,Total period of fertility rate,1988,1988,1988,-,All ages,All ages,IE0,Ireland,Ireland,2.17
VSA104C01,Total period of fertility rate,Total period of fertility rate,1989,1989,1989,-,All ages,All ages,IE0,Ireland,Ireland,2.08
VSA104C01,Total period of fertility rate,Total period of fertility rate,1990,1990,1990,-,All ages,All ages,IE0,Ireland,Ireland,2.12
VSA104C01,Total period of fertility rate,Total period of fertility rate,1991,1991,1991,-,All ages,All ages,IE0,Ireland,Ireland,2.09
VSA104C01,Total period of fertility rate,Total period of fertility rate,1992,1992,1992,-,All ages,All ages,IE0,Ireland,Ireland,1.99
VSA104C01,Total period of fertility rate,Total period of fertility rate,1993,1993,1993,-,All ages,All ages,IE0,Ireland,Ireland,1.91
VSA104C01,Total period of fertility rate,Total period of fertility rate,1994,1994,1994,-,All ages,All ages,IE0,Ireland,Ireland,1.85
VSA104C01,Total period of fertility rate,Total period of fertility rate,1995,1995,1995,-,All ages,All ages,IE0,Ireland,Ireland,1.85
VSA104C01,Total period of fertility rate,Total period of fertility rate,1996,1996,1996,-,All ages,All ages,IE0,Ireland,Ireland,1.89
VSA104C01,Total period of fertility rate,Total period of fertility rate,1997,1997,1997,-,All ages,All ages,IE0,Ireland,Ireland,1.94
VSA104C01,Total period of fertility rate,Total period of fertility rate,1998,1998,1998,-,All ages,All ages,IE0,Ireland,Ireland,1.95
VSA104C01,Total period of fertility rate,Total period of fertility rate,1999,1999,1999,-,All ages,All ages,IE0,Ireland,Ireland,1.91
VSA104C01,Total period of fertility rate,Total period of fertility rate,2000,2000,2000,-,All ages,All ages,IE0,Ireland,Ireland,1.9
VSA104C01,Total period of fertility rate,Total period of fertility rate,2001,2001,2001,-,All ages,All ages,IE0,Ireland,Ireland,1.96
VSA104C01,Total period of fertility rate,Total period of fertility rate,2002,2002,2002,-,All ages,All ages,IE0,Ireland,Ireland,1.98
VSA104C01,Total period of fertility rate,Total period of fertility rate,2003,2003,2003,-,All ages,All ages,IE0,Ireland,Ireland,1.98
VSA104C01,Total period of fertility rate,Total period of fertility rate,2004,2004,2004,-,All ages,All ages,IE0,Ireland,Ireland,1.95
VSA104C01,Total period of fertility rate,Total period of fertility rate,2005,2005,2005,-,All ages,All ages,IE0,Ireland,Ireland,1.88
VSA104C01,Total period of fertility rate,Total period of fertility rate,2006,2006,2006,-,All ages,All ages,IE0,Ireland,Ireland,1.94
VSA104C01,Total period of fertility rate,Total period of fertility rate,2007,2007,2007,-,All ages,All ages,IE0,Ireland,Ireland,2.03
VSA104C01,Total period of fertility rate,Total period of fertility rate,2008,2008,2008,-,All ages,All ages,IE0,Ireland,Ireland,2.07
