year,age_group,nuts_3_region,STATISTIC,value
1971,25 - 29 years,Ireland,VSA104C02,243.5
1972,25 - 29 years,Ireland,VSA104C02,241.5
1973,25 - 29 years,Ireland,VSA104C02,235.0
1974,25 - 29 years,Ireland,VSA104C02,229.5
1970,25 - 29 years,Ireland,VSA104C02,228.7
1969,25 - 29 years,Ireland,VSA104C02,228.7
1975,25 - 29 years,Ireland,VSA104C02,216.0
1976,25 - 29 years,Ireland,VSA104C02,211.7
1977,25 - 29 years,Ireland,VSA104C02,205.5
1979,25 - 29 years,Ireland,VSA104C02,202.5
1980,25 - 29 years,Ireland,VSA104C02,202.3
1970,30 - 34 years,Ireland,VSA104C02,201.9
1978,25 - 29 years,Ireland,VSA104C02,201.7
1971,30 - 34 years,Ireland,VSA104C02,200.5
1969,30 - 34 years,Ireland,VSA104C02,199.5
1981,25 - 29 years,Ireland,VSA104C02,190.3
1972,30 - 34 years,Ireland,VSA104C02,187.6
1982,25 - 29 years,Ireland,VSA104C02,185.0
1973,30 - 34 years,Ireland,VSA104C02,181.2
1983,25 - 29 years,Ireland,VSA104C02,172.3
1974,30 - 34 years,Ireland,VSA104C02,171.9
1979,30 - 34 years,Ireland,VSA104C02,168.4
1978,30 - 34 years,Ireland,VSA104C02,167.8
1977,30 - 34 years,Ireland,VSA104C02,166.7
1980,30 - 34 years,Ireland,VSA104C02,165.7
1984,25 - 29 years,Ireland,VSA104C02,163.3
1975,30 - 34 years,Ireland,VSA104C02,162.2
1976,30 - 34 years,Ireland,VSA104C02,162.2
1981,30 - 34 years,Ireland,VSA104C02,161.5
1985,25 - 29 years,Ireland,VSA104C02,158.6
1982,30 - 34 years,Ireland,VSA104C02,156.9
1986,25 - 29 years,Ireland,VSA104C02,154.3
1972,20 - 24 years,Ireland,VSA104C02,152.1
1971,20 - 24 years,Ireland,VSA104C02,150.3
1973,20 - 24 years,Ireland,VSA104C02,149.9
1987,25 - 29 years,Ireland,VSA104C02,147.9
1983,30 - 34 years,Ireland,VSA104C02,146.9
2021,30 - 34 years,Border,VSA104C02,146.6
1970,20 - 24 years,Ireland,VSA104C02,145.5
1974,20 - 24 years,Ireland,VSA104C02,145.4
