STATISTIC,STATISTIC_label,statistic,TLIST(A1),TLIST(A1)_label,year,C03171V03833,C03171V03833_label,area_of_residence,value
VSA38,Birth Rates,Birth Rates,2008,2008,2008,-,State,State,17.0
VSA38,Birth Rates,Birth Rates,2008,2008,2008,A,Leinster,Leinster,17.7
VSA38,Birth Rates,Birth Rates,2008,2008,2008,010,Carlow,Carlow,20.7
VSA38,Birth Rates,Birth Rates,2008,2008,2008,021,Dublin City,Dublin City,14.5
VSA38,Birth Rates,Birth Rates,2008,2008,2008,022,South Dublin,South Dublin,18.1
VSA38,Birth Rates,Birth Rates,2008,2008,2008,023,Fingal,Fingal,21.7
VSA38,Birth Rates,Birth Rates,2008,2008,2008,024,Dun Laoghaire-Rathdown,Dun Laoghaire-Rathdown,13.5
VSA38,Birth Rates,Birth Rates,2008,2008,2008,030,Kildare,Kildare,20.5
VSA38,Birth Rates,Birth Rates,2008,2008,2008,040,Kilkenny,Kilkenny,15.5
VSA38,Birth Rates,Birth Rates,2008,2008,2008,050,Laois,Laois,19.5
VSA38,Birth Rates,Birth Rates,2008,2008,2008,060,Longford,Longford,20.2
VSA38,Birth Rates,Birth Rates,2008,2008,2008,070,Louth,Louth,17.1
VSA38,Birth Rates,Birth Rates,2008,2008,2008,080,Meath,Meath,21.2
VSA38,Birth Rates,Birth Rates,2008,2008,2008,090,Offaly,Offaly,17.1
VSA38,Birth Rates,Birth Rates,2008,2008,2008,100,Westmeath,Westmeath,18.0
VSA38,Birth Rates,Birth Rates,2008,2008,2008,110,Wexford,Wexford,18.4
VSA38,Birth Rates,Birth Rates,2008,2008,2008,120,Wicklow,Wicklow,19.0
VSA38,Birth Rates,Birth Rates,2008,2008,2008,B,Munster,Munster,16.3
VSA38,Birth Rates,Birth Rates,2008,2008,2008,130,Clare,Clare,15.9
VSA38,Birth Rates,Birth Rates,2008,2008,2008,141,Cork City,Cork City,12.9
VSA38,Birth Rates,Birth Rates,2008,2008,2008,142,Cork County,Cork County,18.0
