year,area_of_residence,STATISTIC,value
2009,Fingal,VSA38,21.8
2008,Fingal,VSA38,21.7
2008,Meath,VSA38,21.2
2008,Carlow,VSA38,20.7
2009,Kildare,VSA38,20.5
2009,Meath,VSA38,20.5
2008,Kildare,VSA38,20.5
2012,Fingal,VSA38,20.2
2011,Fingal,VSA38,20.2
2008,Longford,VSA38,20.2
2010,Fingal,VSA38,20.2
2009,Laois,VSA38,19.9
2009,Longford,VSA38,19.8
2010,Meath,VSA38,19.6
2008,Mid-East,VSA38,19.6
2008,Laois,VSA38,19.5
2013,Fingal,VSA38,19.3
2009,Mid-East,VSA38,19.3
2010,Mid-East,VSA38,19.2
2010,Kildare,VSA38,19.1
2011,Meath,VSA38,19.0
2008,Wicklow,VSA38,19.0
2011,South Dublin,VSA38,18.9
2008,Cavan,VSA38,18.9
2009,Carlow,VSA38,18.8
2010,Wicklow,VSA38,18.8
2010,Waterford City,VSA38,18.8
2008,Waterford City,VSA38,18.7
2008,Galway County,VSA38,18.6
2009,Wicklow,VSA38,18.6
2014,Fingal,VSA38,18.4
2008,Wexford,VSA38,18.4
2012,South Dublin,VSA38,18.4
2008,North Tipperary,VSA38,18.3
2011,Kildare,VSA38,18.3
2009,Cavan,VSA38,18.3
2009,Midland,VSA38,18.1
2010,South Dublin,VSA38,18.1
2008,South Dublin,VSA38,18.1
2008,Midland,VSA38,18.1
2010,Carlow,VSA38,18.1
2011,Carlow,VSA38,18.1
2008,Westmeath,VSA38,18.0
2011,Mid-East,VSA38,18.0
2008,Cork County,VSA38,18.0
2009,North Tipperary,VSA38,17.9
2011,Waterford City,VSA38,17.9
2009,South Dublin,VSA38,17.9
2009,Cork County,VSA38,17.9
2010,Laois,VSA38,17.9
2009,Westmeath,VSA38,17.8
2010,Westmeath,VSA38,17.8
2017,South Dublin,VSA38,17.8
2009,Leinster,VSA38,17.7
2008,Leinster,VSA38,17.7
2009,Limerick County,VSA38,17.6
2010,Limerick County,VSA38,17.5
2009,Galway County,VSA38,17.5
2010,North Tipperary,VSA38,17.5
2010,Longford,VSA38,17.5
2009,Waterford City,VSA38,17.5
2009,Wexford,VSA38,17.4
2011,Cavan,VSA38,17.3
2010,Leinster,VSA38,17.3
2010,Midland,VSA38,17.3
2011,Limerick County,VSA38,17.2
2012,Waterford City,VSA38,17.2
2012,Kildare,VSA38,17.2
2010,Cork County,VSA38,17.1
2012,Meath,VSA38,17.1
2009,Dublin,VSA38,17.1
2008,Limerick County,VSA38,17.1
2011,Dublin,VSA38,17.1
2008,Offaly,VSA38,17.1
2008,Louth,VSA38,17.1
2008,State,VSA38,17.0
2013,South Dublin,VSA38,17.0
2013,Waterford City,VSA38,17.0
2010,Dublin,VSA38,17.0
2012,Mid-East,VSA38,17.0
2011,Leinster,VSA38,17.0
2008,Leitrim,VSA38,16.9
2009,State,VSA38,16.9
2008,South-East,VSA38,16.9
2013,Meath,VSA38,16.9
2009,Offaly,VSA38,16.9
2009,Mid-West,VSA38,16.9
2014,South Dublin,VSA38,16.9
2015,Fingal,VSA38,16.8
2010,Cavan,VSA38,16.8
2012,Carlow,VSA38,16.8
2011,North Tipperary,VSA38,16.8
2012,Dublin,VSA38,16.8
2008,Dublin,VSA38,16.8
2014,Carlow,VSA38,16.8
2008,Mid-West,VSA38,16.8
2011,Cork County,VSA38,16.7
2012,Westmeath,VSA38,16.7
2010,Galway County,VSA38,16.6
2011,Laois,VSA38,16.6
2010,State,VSA38,16.5
2012,Cork County,VSA38,16.5
2009,South-West,VSA38,16.5
2016,Fingal,VSA38,16.5
2011,Wicklow,VSA38,16.5
2012,Galway City,VSA38,16.4
2014,Waterford City,VSA38,16.4
2009,Munster,VSA38,16.4
2013,Galway City,VSA38,16.4
2009,South-East,VSA38,16.4
2012,Leinster,VSA38,16.4
2009,Clare,VSA38,16.3
2008,West,VSA38,16.3
