STATISTIC,STATISTIC_label,statistic,TLIST(A1),TLIST(A1)_label,year,C03171V03833,C03171V03833_label,area_of_residence,value
VSA94C01,Infant Mortality Number,Infant Mortality Number,1990,1990,1990,-,State,State,434.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1990,1990,1990,A,Leinster,Leinster,218.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1990,1990,1990,010,Carlow,Carlow,8.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1990,1990,1990,021,Dublin City,Dublin City,55.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1990,1990,1990,022,South Dublin,South Dublin,28.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1990,1990,1990,023,Fingal,Fingal,20.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1990,1990,1990,024,Dun Laoghaire-Rathdown,Dun Laoghaire-Rathdown,15.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1990,1990,1990,030,Kildare,Kildare,15.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1990,1990,1990,040,Kilkenny,Kilkenny,8.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1990,1990,1990,050,Laois,Laois,5.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1990,1990,1990,060,Longford,Longford,3.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1990,1990,1990,070,Louth,Louth,9.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1990,1990,1990,080,Meath,Meath,9.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1990,1990,1990,090,Offaly,Offaly,11.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1990,1990,1990,100,Westmeath,Westmeath,6.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1990,1990,1990,110,Wexford,Wexford,10.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1990,1990,1990,120,Wicklow,Wicklow,16.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1990,1990,1990,B,Munster,Munster,135.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1990,1990,1990,130,Clare,Clare,16.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1990,1990,1990,141,Cork City,Cork City,19.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1990,1990,1990,142,Cork County,Cork County,29.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1990,1990,1990,150,Kerry,Kerry,14.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1990,1990,1990,161,Limerick City,Limerick City,6.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1990,1990,1990,162,Limerick County,Limerick County,26.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1990,1990,1990,171,North Tipperary,North Tipperary,4.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1990,1990,1990,172,South Tipperary,South Tipperary,14.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1990,1990,1990,181,Waterford City,Waterford City,3.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1990,1990,1990,182,Waterford County,Waterford County,4.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1990,1990,1990,C,Connacht,Connacht,38.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1990,1990,1990,191,Galway City,Galway City,2.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1990,1990,1990,192,Galway County,Galway County,12.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1990,1990,1990,200,Leitrim,Leitrim,4.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1990,1990,1990,210,Mayo,Mayo,9.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1990,1990,1990,220,Roscommon,Roscommon,3.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1990,1990,1990,230,Sligo,Sligo,8.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1990,1990,1990,D,Ulster (part of),Ulster (part of),43.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1990,1990,1990,240,Cavan,Cavan,11.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1990,1990,1990,250,Donegal,Donegal,28.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1990,1990,1990,260,Monaghan,Monaghan,4.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1990,1990,1990,IE11,Border,Border,64.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1990,1990,1990,IE12,Midland,Midland,25.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1990,1990,1990,IE13,West,West,26.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1990,1990,1990,IE21,Dublin,Dublin,118.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1990,1990,1990,IE22,Mid-East,Mid-East,40.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1990,1990,1990,IE23,Mid-West,Mid-West,52.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1990,1990,1990,IE24,South-East,South-East,47.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1990,1990,1990,IE25,South-West,South-West,62.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1991,1991,1991,-,State,State,401.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1991,1991,1991,A,Leinster,Leinster,221.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1991,1991,1991,010,Carlow,Carlow,9.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1991,1991,1991,021,Dublin City,Dublin City,56.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1991,1991,1991,022,South Dublin,South Dublin,28.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1991,1991,1991,023,Fingal,Fingal,17.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1991,1991,1991,024,Dun Laoghaire-Rathdown,Dun Laoghaire-Rathdown,36.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1991,1991,1991,030,Kildare,Kildare,12.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1991,1991,1991,040,Kilkenny,Kilkenny,5.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1991,1991,1991,050,Laois,Laois,5.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1991,1991,1991,060,Longford,Longford,3.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1991,1991,1991,070,Louth,Louth,11.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1991,1991,1991,080,Meath,Meath,17.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1991,1991,1991,090,Offaly,Offaly,3.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1991,1991,1991,100,Westmeath,Westmeath,2.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1991,1991,1991,110,Wexford,Wexford,11.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1991,1991,1991,120,Wicklow,Wicklow,6.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1991,1991,1991,B,Munster,Munster,116.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1991,1991,1991,130,Clare,Clare,10.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1991,1991,1991,141,Cork City,Cork City,11.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1991,1991,1991,142,Cork County,Cork County,33.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1991,1991,1991,150,Kerry,Kerry,6.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1991,1991,1991,161,Limerick City,Limerick City,10.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1991,1991,1991,162,Limerick County,Limerick County,14.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1991,1991,1991,171,North Tipperary,North Tipperary,11.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1991,1991,1991,172,South Tipperary,South Tipperary,8.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1991,1991,1991,181,Waterford City,Waterford City,5.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1991,1991,1991,182,Waterford County,Waterford County,8.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1991,1991,1991,C,Connacht,Connacht,31.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1991,1991,1991,191,Galway City,Galway City,3.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1991,1991,1991,192,Galway County,Galway County,13.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1991,1991,1991,200,Leitrim,Leitrim,4.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1991,1991,1991,210,Mayo,Mayo,6.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1991,1991,1991,220,Roscommon,Roscommon,1.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1991,1991,1991,230,Sligo,Sligo,4.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1991,1991,1991,D,Ulster (part of),Ulster (part of),33.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1991,1991,1991,240,Cavan,Cavan,4.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1991,1991,1991,250,Donegal,Donegal,25.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1991,1991,1991,260,Monaghan,Monaghan,4.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1991,1991,1991,IE11,Border,Border,52.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1991,1991,1991,IE12,Midland,Midland,13.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1991,1991,1991,IE13,West,West,23.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1991,1991,1991,IE21,Dublin,Dublin,137.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1991,1991,1991,IE22,Mid-East,Mid-East,35.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1991,1991,1991,IE23,Mid-West,Mid-West,45.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1991,1991,1991,IE24,South-East,South-East,46.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1991,1991,1991,IE25,South-West,South-West,50.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1992,1992,1992,-,State,State,331.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1992,1992,1992,A,Leinster,Leinster,198.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1992,1992,1992,010,Carlow,Carlow,4.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1992,1992,1992,021,Dublin City,Dublin City,50.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1992,1992,1992,022,South Dublin,South Dublin,31.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1992,1992,1992,023,Fingal,Fingal,24.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1992,1992,1992,024,Dun Laoghaire-Rathdown,Dun Laoghaire-Rathdown,19.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1992,1992,1992,030,Kildare,Kildare,12.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1992,1992,1992,040,Kilkenny,Kilkenny,4.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1992,1992,1992,050,Laois,Laois,1.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1992,1992,1992,060,Longford,Longford,2.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1992,1992,1992,070,Louth,Louth,13.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1992,1992,1992,080,Meath,Meath,12.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1992,1992,1992,090,Offaly,Offaly,5.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1992,1992,1992,100,Westmeath,Westmeath,9.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1992,1992,1992,110,Wexford,Wexford,7.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1992,1992,1992,120,Wicklow,Wicklow,5.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1992,1992,1992,B,Munster,Munster,95.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1992,1992,1992,130,Clare,Clare,5.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1992,1992,1992,141,Cork City,Cork City,18.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1992,1992,1992,142,Cork County,Cork County,28.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1992,1992,1992,150,Kerry,Kerry,11.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1992,1992,1992,161,Limerick City,Limerick City,6.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1992,1992,1992,162,Limerick County,Limerick County,9.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1992,1992,1992,171,North Tipperary,North Tipperary,5.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1992,1992,1992,172,South Tipperary,South Tipperary,7.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1992,1992,1992,181,Waterford City,Waterford City,3.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1992,1992,1992,182,Waterford County,Waterford County,3.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1992,1992,1992,C,Connacht,Connacht,19.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1992,1992,1992,191,Galway City,Galway City,3.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1992,1992,1992,192,Galway County,Galway County,6.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1992,1992,1992,200,Leitrim,Leitrim,2.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1992,1992,1992,210,Mayo,Mayo,4.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1992,1992,1992,220,Roscommon,Roscommon,3.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1992,1992,1992,230,Sligo,Sligo,1.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1992,1992,1992,D,Ulster (part of),Ulster (part of),19.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1992,1992,1992,240,Cavan,Cavan,8.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1992,1992,1992,250,Donegal,Donegal,6.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1992,1992,1992,260,Monaghan,Monaghan,5.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1992,1992,1992,IE11,Border,Border,35.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1992,1992,1992,IE12,Midland,Midland,17.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1992,1992,1992,IE13,West,West,16.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1992,1992,1992,IE21,Dublin,Dublin,124.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1992,1992,1992,IE22,Mid-East,Mid-East,29.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1992,1992,1992,IE23,Mid-West,Mid-West,25.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1992,1992,1992,IE24,South-East,South-East,28.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1992,1992,1992,IE25,South-West,South-West,57.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1993,1993,1993,-,State,State,302.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1993,1993,1993,A,Leinster,Leinster,163.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1993,1993,1993,010,Carlow,Carlow,5.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1993,1993,1993,021,Dublin City,Dublin City,36.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1993,1993,1993,022,South Dublin,South Dublin,22.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1993,1993,1993,023,Fingal,Fingal,11.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1993,1993,1993,024,Dun Laoghaire-Rathdown,Dun Laoghaire-Rathdown,19.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1993,1993,1993,030,Kildare,Kildare,14.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1993,1993,1993,040,Kilkenny,Kilkenny,3.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1993,1993,1993,050,Laois,Laois,5.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1993,1993,1993,060,Longford,Longford,1.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1993,1993,1993,070,Louth,Louth,7.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1993,1993,1993,080,Meath,Meath,5.0
