year,area_of_residence,STATISTIC,value
1990,State,VSA94C01,434.0
1991,State,VSA94C01,401.0
2011,State,VSA94C07,358.0
2013,State,VSA94C07,344.0
2000,State,VSA94C01,338.0
2015,State,VSA94C07,336.0
2012,State,VSA94C07,333.0
2001,State,VSA94C01,331.0
1992,State,VSA94C01,331.0
2003,State,VSA94C01,326.0
1997,State,VSA94C01,321.0
1999,State,VSA94C01,317.0
1998,State,VSA94C01,316.0
1995,State,VSA94C01,311.0
2002,State,VSA94C01,305.0
1996,State,VSA94C01,303.0
1993,State,VSA94C01,302.0
2016,State,VSA94C07,289.0
2004,State,VSA94C01,287.0
2014,State,VSA94C07,284.0
2008,State,VSA94C01,284.0
1994,State,VSA94C01,277.0
2010,State,VSA94C01,271.0
2017,State,VSA94C07,264.0
2011,State,VSA94C01,262.0
2006,State,VSA94C01,255.0
2009,State,VSA94C01,247.0
2013,State,VSA94C01,245.0
2012,State,VSA94C01,237.0
2005,State,VSA94C01,236.0
2018,State,VSA94C07,233.0
2021,State,VSA94C07,230.0
2007,State,VSA94C01,230.0
2019,State,VSA94C07,228.0
2020,State,VSA94C07,226.0
2015,State,VSA94C01,225.0
2014,State,VSA94C01,224.0
1991,Leinster,VSA94C01,221.0
1990,Leinster,VSA94C01,218.0
2022,State,VSA94C07,214.0
2011,State,VSA94C05,211.0
2023,State,VSA94C07,210.0
2000,Leinster,VSA94C01,201.0
2021,State,VSA94C01,199.0
1992,Leinster,VSA94C01,198.0
1997,Leinster,VSA94C01,195.0
2015,State,VSA94C05,194.0
2016,State,VSA94C01,194.0
2011,Leinster,VSA94C07,192.0
2013,State,VSA94C05,190.0
2017,State,VSA94C01,188.0
2012,State,VSA94C05,188.0
2022,State,VSA94C01,188.0
2011,State,VSA94C03,188.0
2013,Leinster,VSA94C07,188.0
2012,State,VSA94C03,185.0
1996,Leinster,VSA94C01,184.0
2001,Leinster,VSA94C01,183.0
2015,Leinster,VSA94C07,181.0
2013,State,VSA94C03,181.0
2012,Leinster,VSA94C07,180.0
2023,State,VSA94C01,180.0
2020,State,VSA94C01,178.0
2002,Leinster,VSA94C01,177.0
2003,Leinster,VSA94C01,177.0
1998,Leinster,VSA94C01,176.0
1999,Leinster,VSA94C01,174.0
2015,State,VSA94C03,174.0
2018,State,VSA94C01,174.0
2016,State,VSA94C05,173.0
1995,Leinster,VSA94C01,168.0
2019,State,VSA94C01,167.0
2004,Leinster,VSA94C01,165.0
2014,State,VSA94C05,164.0
1993,Leinster,VSA94C01,163.0
2017,State,VSA94C05,162.0
2014,Leinster,VSA94C07,162.0
2017,Leinster,VSA94C07,162.0
2014,State,VSA94C03,158.0
2016,Leinster,VSA94C07,155.0
2021,State,VSA94C03,152.0
2008,Leinster,VSA94C01,152.0
1994,Leinster,VSA94C01,152.0
2016,State,VSA94C03,147.0
2017,State,VSA94C03,140.0
2010,Leinster,VSA94C01,138.0
